Time;GyroX;GyroY;GyroZ;Accelerometer;HeelLeft;FrontLeft;HeelRight;FrontRight;mistake
1.54764E+12;-0.1985312;-0.07497934;-0.17793632;-8.274265;863;262;944;507;1
1.54764E+12;-0.058538344;-0.07976155;-0.27429596;-8.5591755;861;277;939;512;1
1.54764E+12;-0.014346606;-0.08349655;-0.28866;-9.181006;862;285;934;519;1
1.54764E+12;0.030874874;-0.18835594;-0.20509364;-7.574909;861;291;933;527;1
1.54764E+12;0.006928957;-0.18357372;-0.27429596;-8.600231;857;290;933;542;1
1.54764E+12;0.10700613;-0.106395274;-0.2694963;-9.345804;861;298;933;548;1
1.54764E+12;0.10752974;-0.070179686;-0.27642524;-10.646737;863;303;933;548;1
1.54764E+12;0.3593284;-0.33314845;-0.13269739;-6.7498198;863;313;939;539;1
1.54764E+12;0.31726596;-0.20326105;-0.36053267;-7.673599;863;313;923;552;1
1.54764E+12;0.3683692;0.050632;-0.18912388;-12.157632;866;314;910;576;1
1.54764E+12;0.37529814;-0.18729128;-0.16196655;-8.587561;868;311;924;580;1
1.54764E+12;0.32686526;-0.020682152;-0.111927964;-9.168739;858;310;923;584;1
1.54764E+12;0.21666518;-0.18092082;-0.26258478;-7.914206;857;321;928;579;1
1.54764E+12;0.23635249;-0.07550294;-0.14280283;-9.617595;860;325;928;580;1
1.54764E+12;0.24806364;-0.4635769;-0.24767968;-9.113433;861;325;931;566;1
1.54764E+12;0.27309167;-0.10053097;-0.21413444;-7.6490912;856;331;929;557;1
1.54764E+12;0.16982053;-0.30335566;-0.31262338;-9.256721;850;335;918;559;1
1.54764E+12;0.15543902;-0.13194689;-0.359468;-8.768946;853;333;921;572;1
1.54764E+12;0.14159857;-0.17825048;-0.39725438;-10.418148;852;322;921;578;1
1.54764E+12;0.2901261;-0.13672909;-0.24555036;-9.087633;851;328;930;585;1
1.54764E+12;0.25179866;-0.21019;-0.31208232;-9.139242;843;334;927;602;1
1.54764E+12;0.27361527;-0.10957177;-0.25778514;-9.543585;841;324;927;604;1
1.54764E+12;0.3891386;-0.20060815;-0.22425735;-9.482859;845;317;928;602;1
1.54764E+12;0.40723768;-0.20860176;-0.25939083;-9.003453;846;299;927;601;1
1.54764E+12;0.42107815;-0.2682222;-0.27110198;-8.353235;847;299;925;601;1
1.54764E+12;0.44928265;-0.34592426;-0.35201547;-8.906172;847;309;924;601;1
1.54764E+12;0.43811256;-0.31932545;-0.28707176;-9.9506855;845;324;924;598;1
1.54764E+12;0.43385395;-0.30974358;-0.2146755;-9.460727;843;341;923;597;1
1.54764E+12;0.1900489;-0.15217526;-0.22265165;-8.837055;842;358;917;600;1
1.54764E+12;0.14800392;-0.34646532;-0.20242329;-9.732018;842;371;917;600;1
1.54764E+12;0.28480282;-0.16653931;-0.1523847;-9.256655;842;375;924;600;1
1.54764E+12;0.35613444;-0.21764256;-0.1603783;-9.188257;847;379;920;593;1
1.54764E+12;0.39659116;-0.16441001;-0.14280283;-8.85734;849;379;924;597;1
1.54764E+12;0.47698104;-0.21977186;-0.23596852;-9.730122;852;391;925;595;1
1.54764E+12;0.36304593;-0.07871435;-0.2231927;-9.045246;852;404;928;587;1
1.54764E+12;0.31833062;-0.04145157;-0.2902657;-8.456446;822;414;931;589;1
1.54764E+12;0.09103637;0.06553711;-0.44409904;-9.738051;746;417;932;602;1
1.54764E+12;0.050056044;0.14112732;-0.24448572;-9.438202;686;410;934;616;1
1.54764E+12;0.17140879;0.031468287;-0.24661502;-8.644093;673;415;935;636;1
1.54764E+12;0.31461304;-0.04251622;-0.23436281;-10.536442;692;417;938;647;1
1.54764E+12;0.4934744;-0.04410447;-0.11938052;-9.288172;687;431;941;646;1
1.54764E+12;0.50253266;-0.09468411;-0.16463691;-8.892026;665;438;944;635;1
1.54764E+12;0.5387308;-0.2517114;-0.221587;-8.427188;614;452;946;621;1
1.54764E+12;0.45249406;-0.30068532;-0.21839304;-9.142317;561;460;948;617;1
1.54764E+12;0.6026098;-0.39969784;-0.040072758;-8.302431;574;455;949;618;1
1.54764E+12;0.66062456;-0.36349973;-0.065083325;-8.571233;585;453;948;617;1
1.54764E+12;0.72823864;-0.39756855;-0.085311696;-9.735658;629;449;947;594;1
1.54764E+12;0.64571947;-0.48593456;-0.13482669;-9.648709;710;461;947;594;1
1.54764E+12;0.5972866;-0.5173505;-0.24874432;-8.824309;734;481;947;535;1
1.54764E+12;0.7527256;-0.4827406;-0.24713862;-8.770622;740;497;943;443;1
1.54764E+12;1.1088426;-0.50138074;-0.2694963;-7.259028;649;501;941;282;1
1.54764E+12;0.8740958;-0.39330995;-0.43292892;-10.217533;827;496;942;154;1
1.54764E+12;0.8011585;-0.326778;-0.44889867;-9.242586;855;528;942;49;1
1.54764E+12;0.6159267;-0.06487389;-0.28866;-7.232548;846;547;933;24;1
1.54764E+12;0.24754004;-0.1558928;-0.38234928;-7.9741855;809;547;889;30;1
1.54764E+12;0.36412805;-0.18092082;-0.36637953;-8.648211;802;552;867;46;1
1.54764E+12;0.5094442;-0.43004912;-0.3536037;-8.648833;806;550;865;76;1
1.54764E+12;0.6313554;-0.3225194;-0.19603539;-7.224858;803;543;878;117;1
1.54764E+12;0.7261093;-0.39543924;-0.3094294;-7.0312915;775;547;887;209;1
1.54764E+12;0.9448863;-0.34965926;-0.30304152;-8.167637;783;549;894;308;1
1.54764E+12;0.9629854;-0.4220555;-0.40470695;-8.458149;800;549;856;353;1
1.54764E+12;0.87355477;-0.46411794;-0.23490386;-8.676922;799;552;878;339;1
1.54764E+12;0.3284535;-0.080302596;-0.18325958;-9.506273;806;553;865;380;1
1.54764E+12;0.12829915;-0.32997194;0.043493606;-8.066305;842;542;709;405;1
1.54764E+12;0.25127506;0.06499606;-0.017715093;-7.2286882;863;547;793;381;1
1.54764E+12;0.3758392;-0.34646532;-0.02994985;-4.5432467;880;506;895;291;1
1.54764E+12;0.60313344;-0.29483846;-0.27481955;-7.2534256;894;468;924;271;1
1.54764E+12;0.28373817;-0.2229658;-0.20135863;-7.3694677;879;507;925;302;1
1.54764E+12;0.14161602;-0.42631412;0.014748032;-7.962301;879;535;926;287;1
1.54764E+12;-0.12559389;-0.36404076;0.036041047;-8.173048;880;547;926;297;1
1.54764E+12;-0.19638444;-0.74731505;-0.033143803;-7.1225586;864;558;920;344;1
1.54764E+12;0.501468;-0.63446206;-0.12150982;-5.696917;847;569;920;381;1
1.54764E+12;0.30450758;-0.3523296;-0.33444;-7.6411424;864;563;923;399;1
1.54764E+12;0.29014352;-0.2831273;-0.1438675;-9.301292;899;486;933;373;1
1.54764E+12;0.73675585;0.22149974;0.37831756;-7.2842054;913;403;939;274;1
1.54764E+12;0.48603928;0.16294394;0.40334558;-6.6292763;920;368;940;235;1
1.54764E+12;0.054314647;0.120898955;0.40706313;-6.736939;928;296;929;217;1
1.54764E+12;-0.08141961;0.055955257;0.32456142;-7.803163;930;235;934;195;1
1.54764E+12;0.16236798;0.009110618;0.06743952;-6.287413;931;233;937;145;1
1.54764E+12;0.16877334;0.010175269;-0.05284857;-6.3516445;933;248;939;103;1
1.54764E+12;0.14322172;-0.17718582;-0.027820548;-7.216191;930;310;950;46;1
1.54764E+12;0.18420205;-0.16760397;0.031782445;-5.868763;921;332;954;27;1
1.54764E+12;-0.11601204;-0.17772688;-0.022497294;-7.5152745;930;323;957;26;1
1.54764E+12;-0.253352;-0.09894271;-0.18645352;-8.48256;933;326;959;36;1
1.54764E+12;-0.50193924;-0.24319418;-0.034208454;-7.368079;936;305;960;60;1
1.54764E+12;-0.48596948;-0.29323277;-0.024102997;-8.110339;939;297;959;90;1
1.54764E+12;-0.437013;-0.0776497;0.35224235;-8.177424;937;346;957;159;1
1.54764E+12;0.20603612;0.013369222;0.5145929;-6.1204033;929;347;953;257;1
1.54764E+12;-0.2831622;-0.41673225;0.060528018;-3.9617238;930;327;953;257;1
1.54764E+12;-0.48809877;-0.70047045;-0.095434606;-6.6434593;927;278;943;374;1
1.54764E+12;-0.768643;-0.59878755;0.24684192;-6.8574724;929;196;955;442;1
1.54764E+12;-0.8841489;-0.41514403;0.48265335;-7.901067;930;99;957;483;1
1.54764E+12;-0.7595847;-0.29909706;0.5523967;-6.36556;927;0;958;513;1
1.54764E+12;-0.67921233;-0.4529304;0.36128315;-7.470398;921;0;959;520;1
1.54764E+12;-0.45402995;-0.37414622;0.43048546;-6.044976;906;0;961;578;1
1.54764E+12;-0.5610361;-0.30761427;0.6258576;-6.4720826;873;0;962;660;1
1.54764E+12;-0.68825316;-0.91127133;0.19093902;-4.4730487;799;0;959;694;1
1.54764E+12;-0.2581342;-1.0938503;0.16538739;-8.473636;741;0;963;696;1
1.54764E+12;-0.10430088;-1.0938503;0.53056264;-6.8917003;719;0;963;699;1
1.54764E+12;-0.17509143;-1.3626833;0.5353623;-5.100847;776;0;962;710;1
1.54764E+12;0.23158774;-0.9943141;0.73125803;-7.9457426;737;0;956;712;1
1.54764E+12;-0.024452062;-0.37095228;1.2007691;-3.9726224;827;70;871;704;1
1.54764E+12;-0.3614053;-0.6349857;0.8148244;-5.8223443;824;163;606;690;1
1.54764E+12;0.048467793;-0.8356811;0.5417502;-5.527618;831;222;371;691;1
1.54764E+12;-0.079813905;-0.37149334;0.69612455;-8.246837;794;277;548;670;1
1.54764E+12;-0.113882735;-0.13992305;0.8755095;-6.849543;834;298;779;646;1
1.54764E+12;-0.5557128;0.10012954;1.0996273;-6.8536325;830;322;798;644;1
1.54764E+12;-0.9783792;-0.03345796;1.1294374;-7.4154553;833;326;901;648;1
1.54764E+12;-0.78035414;0.39132026;0.81749475;-7.615333;842;314;918;650;1
1.54764E+12;-0.06543239;0.2630211;0.575278;-7.247651;851;354;915;642;1
