Time;GyroX;GyroY;GyroZ;Accelerometer;HeelLeft;FrontLeft;mistake
1547631693488;0.3490833;0.23490386;0.12538445;-14.722185;943;630;0
1547631693537;0.45661303;-0.2766347;0.30211648;-11.036494;944;611;0
1547631693588;1.1858989;-0.08766789;0.47406632;-9.571607;941;567;0
1547631693637;1.4770721;0.3163584;0.29679325;-4.668741;935;555;0
1547631693687;1.6644506;0.51916564;0.101962134;-4.7020016;925;564;0
1547631693737;1.0826278;0.17582446;-0.42821652;-5.6082263;922;607;0
1547631693787;0.5817008;0.044331364;-0.61453044;-9.044834;916;631;0
1547631693837;0.6865776;0.12737413;-0.106150925;-9.6157465;899;638;0
1547631693887;0.43319073;0.13589133;-0.107215576;-7.59572;905;643;0
1547631693938;0.86596256;-0.232984;-0.22380356;-9.440098;910;642;0
1547631693988;1.0107725;-0.09192649;-0.15992452;-8.365628;916;644;0
1547631694037;0.56946605;-0.2931455;-0.24349089;-9.52175;921;646;0
1547631694087;0.7605621;-0.11641346;-0.0742114;-8.181409;917;652;0
1547631694137;0.43851396;0.035814155;0.099309236;-9.236888;911;652;0
1547631694187;0.7988896;-0.023788838;-0.031101767;-6.311508;896;654;0
1547631694238;0.6743254;-0.19839157;-0.28448868;-7.929184;895;656;0
1547631694287;0.47951177;-0.15687019;-0.30098203;-7.7745185;899;657;0
1547631694336;0.40816268;-0.123866014;-0.18174113;-9.5985365;906;655;0
1547631694387;0.77813756;-0.018989183;-0.114144534;-6.5649776;903;654;0
1547631694437;0.7334223;-0.013665928;0.022113321;-8.250016;906;651;0
1547631694512;0.41083306;-0.12227777;-0.040142573;-9.106988;914;643;0
1547631694562;0.7371398;0.10501646;-0.009267698;-7.0847397;904;637;0
1547631694613;0.61844;-0.044017203;-0.1263793;-7.895857;898;626;0
1547631694661;0.51677454;0.10236356;0.09983283;-8.130431;894;599;0
1547631694713;0.44703117;0.48776716;0.19619246;-7.290785;887;580;0
1547631694763;0.05630432;0.46860346;0.2478193;-6.7953286;881;541;0
1547631694812;0.087702796;0.48190287;0.007749262;-6.7777934;853;527;0
1547631694862;0.18245672;0.01558579;-0.11946779;-9.535569;863;495;0
1547631694912;0.46991244;-0.00143117;-0.02417281;-9.5088215;883;458;0
1547631694962;0.21813124;0.20244074;0.10995574;-10.083324;886;432;0
1547631695013;0.46513024;0.5308768;0.6007598;-7.1895294;859;405;0
1547631695062;0.4097684;0.0283616;0.517176;-7.0847206;827;391;0
1547631695113;0.25113544;0.0076096356;0.39954078;-8.685772;838;348;0
1547631695163;-0.029914944;-0.21916099;0.08972738;-10.103187;859;276;0
1547631695213;0.0312763;-0.27504644;0.1200612;-11.608947;885;243;0
1547631695262;-0.23858652;-0.35702455;0.17383479;-10.539343;908;265;0
1547631695313;-0.17257816;-0.3729943;0.5123938;-8.3820715;903;302;0
1547631695363;-0.38763762;-0.13557717;0.5704085;-9.796029;915;304;0
1547631695413;-0.15234978;-0.30963886;0.56882024;-9.128728;910;312;0
1547631695462;-0.49357912;-0.19200367;0.26485372;-10.892229;916;214;0
1547631695513;-0.60802037;-0.20636773;0.1679705;-13.299235;894;146;0
1547631695563;-0.2843665;-0.09245009;0.4532969;-9.194711;896;121;0
1547631695613;-0.28703684;-0.21861994;0.5592384;-8.67742;855;105;0
1547631695662;-0.4052131;0.18167132;0.7253239;-7.482713;816;55;0
1547631695713;-0.44619343;0.1454732;0.45490262;-8.23704;799;16;0
1547631695762;-0.59417987;-0.4821123;-0.83543676;-15.572798;879;27;0
1547631695812;-0.77304125;0.010803588;-0.23071507;-18.431398;832;29;0
1547631695862;0.6812544;-1.1028037;0.5704085;-5.190763;652;148;0
1547631695912;-0.0155508835;-0.063180916;0.7317118;-4.6035037;729;103;0
1547631695962;0.0893085;-0.1094845;0.9616764;0.85947055;719;55;0
1547631696012;0.4747121;-0.41290998;0.3431143;-3.2592556;843;65;0
1547631696061;-0.8933468;-0.032829642;-1.6722523;-28.857965;882;102;0
1547631696112;-0.5042256;0.13056809;0.46394342;-20.012949;908;104;0
1547631696164;-0.3993488;-0.5231101;1.0010685;-4.583575;858;112;0
1547631696212;-0.43661156;0.73689544;0.97178185;-0.1152856;763;134;0
1547631696261;-0.5782101;0.2599319;0.7279768;-5.5615005;783;112;0
1547631696312;-0.5718222;0.1385617;0.26007152;-13.94883;831;79;0
1547631696362;-0.90453434;0.26951376;0.9105732;-17.04346;857;64;0
1547631696412;-1.5821759;0.2098933;1.0622772;-8.174858;854;61;0
1547631696486;-1.5992103;0.076270886;0.7561988;-9.786003;814;139;0
1547631696537;-1.4533532;0.16837192;0.9036442;-11.774215;818;171;0
1547631696587;-1.0796607;0.27003735;1.0463074;-10.670354;720;257;0
1547631696637;-0.7315198;0.35414475;1.0319433;-8.318577;689;286;0
1547631696687;-0.99077106;0.71560246;0.89992666;-8.400909;704;298;0
1547631696738;-1.6811883;0.320617;0.1722291;-13.110103;761;247;0
1547631696788;-2.1581519;0.6432062;0.8796983;-20.385775;836;172;0
1547631696837;-1.7983;0.853466;1.353468;-6.2313027;826;179;0
1547631696888;-1.8355628;0.5000019;1.0628183;-5.1720314;818;203;0
1547631696938;-2.5957234;0.34510395;0.65664524;-10.514999;843;246;0
1547631696988;-2.1656046;-1.0266899;0.66357416;-14.622912;836;316;0
1547631697038;-3.4415972;0.23809782;1.1527725;-10.369641;818;342;0
1547631697088;-3.7828093;0.012391837;1.3768902;-9.673226;832;301;0
1547631697137;-3.075881;0.24980898;0.5113291;-10.907371;816;200;0
1547631697188;-3.5874546;-0.9095783;0.7737568;-19.201403;871;162;0
1547631697238;-3.1445596;-0.30750957;0.8232718;-6.423327;891;118;0
1547631697288;-3.6710207;-0.26865852;1.0170382;-8.929061;901;138;0
1547631697338;-3.146689;-0.4464552;0.873834;-4.600746;896;204;0
1547631697387;-3.7897382;-0.6327691;0.5028119;-11.670287;919;248;0
1547631697438;-2.6787663;-1.1736118;1.368373;-7.021418;932;259;0
1547631697488;-2.554202;-1.3987767;1.3795432;-5.507468;938;311;0
1547631697538;-2.3465953;-0.5550496;0.96858793;-4.466431;941;353;0
1547631697588;-2.8203647;-1.0607587;0.9489006;-7.34565;944;409;0
1547631697637;-3.3952763;0.19444713;2.6911929;-10.371317;939;410;0
1547631697688;-3.5081291;-1.3178632;3.0340106;0.633592;909;384;0
1547631697737;-2.5845532;-0.5433384;1.6175014;-3.7398005;878;471;0
1547631697788;-2.441349;-0.28195795;1.7569706;-6.025248;900;488;0
1547631697838;-1.1190528;-0.70942396;2.1386392;-6.1657877;926;412;0
1547631697888;-1.956933;-0.6870663;2.1216047;-9.07345;928;450;0
1547631697938;-2.598394;-0.05253441;2.5937862;-12.151866;942;472;0
1547631697988;-2.8006775;0.17421876;2.6321137;-9.847102;951;448;0
1547631698037;-2.6478913;-0.11960741;2.6289196;-11.229706;955;363;0
1547631698088;-2.9513168;-0.071157075;2.6656413;-9.968143;956;139;0
1547631698138;-2.0985315;0.4675388;2.9930303;-14.259731;959;156;0
1547631698188;-1.5316137;0.23331562;2.913705;-4.245887;956;193;0
1547631698237;-2.9518578;-0.17868681;2.9488385;-3.6338046;952;303;0
1547631698287;-3.3143628;-0.63648665;2.3153713;-4.7389965;943;536;0
1547631698337;-2.768738;-0.25001842;2.4090605;-4.7790947;946;608;0
1547631698412;-1.9425689;0.34191;1.7207725;-6.1451116;939;628;0
1547631698462;-2.0756502;0.3461686;1.3524033;-5.455342;931;650;0
1547631698513;-1.7514553;0.44464007;1.1139215;-8.012282;916;670;0
1547631698563;-1.2175417;0.6927037;1.0590832;-4.9838567;895;671;0
1547631698613;-0.81190974;0.726249;0.7471405;-4.224339;796;652;0
1547631698661;-0.4137303;0.8843409;0.47832492;-6.695241;618;648;0
1547631698713;-0.116692714;0.61233133;0.13177235;-5.602212;812;608;0
1547631698763;-0.6756344;0.42334706;-0.6097308;-6.617382;879;578;0
1547631698813;-0.5191307;0.5319415;-0.8684409;-6.584553;866;569;0
1547631698862;-0.2300693;0.45209265;-1.5711105;-5.46375;884;534;0
1547631698913;-0.52178365;0.5117131;-2.1098237;-6.877172;898;469;0
1547631698962;-0.8076511;0.39673078;-2.192343;-7.508973;901;334;0
1547631699012;-0.721938;0.88701123;-2.7699072;-8.934117;901;48;0
1547631699062;-0.71235615;1.1100469;-1.5743045;-13.724943;874;0;0
1547631699112;-0.028326694;0.786393;-1.2176464;-9.291169;818;0;0
1547631699162;0.21813124;0.4696681;-1.4886087;-7.591219;726;0;0
1547631699212;0.10793116;0.87742937;-1.2394805;-7.2203283;696;0;0
1547631699262;-0.5563935;0.86517715;-1.084565;-5.7287407;697;0;0
1547631699312;-0.89282316;1.6327904;-1.0084512;-7.918094;747;0;0
1547631699362;-0.07730063;0.5590988;-0.8072322;-8.674154;768;0;0
1547631699412;0.37250564;0.2120226;-1.1000112;-6.0977635;774;0;0
1547631699462;-0.24658011;0.55962235;-0.72897166;-10.016067;794;0;0
1547631699512;0.40922734;0.026232298;-0.7667755;-8.564165;793;0;0
1547631699562;0.11486012;0.8710415;-0.03481932;-13.620202;766;0;0
1547631699612;0.5614724;-0.26439992;0.28988174;-9.466951;686;0;0
1547631699662;-0.38711402;-0.5944417;-0.017784905;-5.107301;697;0;0
1547631699712;-0.6405009;-0.7392342;-0.043336526;-6.0272684;711;0;0
1547631699762;-0.7922049;-0.1595231;0.3644073;-8.461943;705;0;0
1547631699812;-0.6357013;-0.50447;0.295205;-7.004649;699;0;0
1547631699862;-0.8795063;-0.44326127;0.2840174;-8.2019415;698;0;0
1547631699912;-1.1504687;-0.3043156;0.28614673;-9.049374;695;0;0
1547631699963;-1.173891;-0.79724896;0.5799904;-7.727152;679;0;0
1547631700012;-1.2042248;-0.7999193;0.8216661;-9.078296;630;0;0
1547631700061;-1.3154895;-0.8888089;0.9558121;-7.7939405;564;0;0
1547631700112;-1.4645407;-0.7014304;1.0181029;-9.1092005;518;0;0
1547631700162;-1.3846918;-0.8675159;0.853082;-8.239013;492;0;0
1547631700212;-1.3420883;-0.89202034;0.856276;-8.619136;470;0;0
1547631700262;-1.1222467;-0.8802917;0.82859504;-9.026302;450;0;0
1547631700312;-1.1147941;-0.92235416;0.79824376;-9.362027;424;0;0
1547631700362;-1.0003529;-0.97078705;0.718936;-9.497214;388;0;0
1547631700413;-1.0189756;-1.0208256;0.61938244;-9.538777;393;0;0
1547631700462;-1.2478755;-1.1347432;0.65505695;-8.6507015;397;0;0
1547631700512;-1.509256;-1.3088224;0.77642715;-9.27057;406;0;0
1547631700563;-1.395862;-1.1443251;0.6103416;-8.665976;482;0;0
